朱月杖,男,32236242,3.6857,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
马茵猸,男,32374558,2.6066,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1
方月用,女,32520414,3.1386,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
赵铭千,女,32847846,1.1501,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0
贺骏故,女,32440447,2.4533,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
孙欣复,女,32452288,3.4261,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
何茵律,女,32130303,2.4041,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
姜辰叮,女,32448638,2.9433,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1
吴隆古,男,32171618,1.7465,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
吴破,女,32755680,3.7784,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
岑欣谄,男,32105167,3.5201,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
严伟叩,男,32723765,3.5695,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
李坤窒,男,32875117,3.6942,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
郑阀,男,32364885,2.6423,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0
秦桐枚,男,32304880,3.0407,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
朱俨,女,32723275,1.7063,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1
方耐,男,32201828,2.3874,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
郑欣腥,女,32384442,2.9702,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
潘呢,女,32307450,2.4613,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1
贺韵,男,32225333,3.3627,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
魏亮怨,男,32115158,1.883,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0
曹汉巳,男,32140020,2.7137,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
周欣厦,男,32435742,2.5358,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0
孔坤凑,女,32372611,3.1513,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
魏勇,女,32033154,2.7076,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
李月嘎,女,32284545,2.8782,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1
苏兰矫,女,32325166,2.4131,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1
孙亮状,女,32130234,2.7469,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1
岑兰叹,女,32074641,2.6673,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0
岑歌禺,女,32767337,2.8929,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
周欣嗍,女,32862031,2.4919,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
韩隆喑,男,32326801,3.7811,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
李坤虏,男,32844002,1.3548,0,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0
潘吭,男,32454165,2.2776,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1
沈茵涡,男,32887563,1.6534,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
韩赣,男,32414531,2.5321,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1
苏厝,女,32716250,3.6124,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
