张刍,男,32036722,3.9978,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,95
方晓嗷,男,32627245,3.9835,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97
鲁门,女,32806285,3.9355,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97
张贝镜,男,32460633,3.8815,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,96
秦晓甲,女,32753212,3.8235,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,95
钱伟暖,男,32688257,3.8131,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,95
赵凡啵,男,32335788,3.7842,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97
韩顿,女,32527428,3.7734,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97
昌汉艘,男,32305477,3.691,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96
苏汉藕,女,32266152,3.6289,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,95
钱月澳,女,32418642,3.5769,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,88
赵汉悲,女,32076362,3.5569,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,88
冯欣甲,女,32466764,3.5565,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,86
孙峰府,男,32820153,3.5451,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,87
赵贝塥,男,32025250,3.5067,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90
王凡簇,女,32168524,3.5027,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,88
周赏,男,32761553,3.4735,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,89
周东狭,女,32885131,3.4578,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,89
赵餐,男,32420740,3.3959,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,86
方伟丝,女,32730538,3.3735,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,89
张晓铰,男,32020557,3.3592,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,89
谢合,男,32272573,3.3082,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90
罗东久,男,32451883,3.2729,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,89
韩月蛊,男,32375762,3.26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90
李月濞,女,32647464,3.2427,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,88
孙骏辽,女,32023312,3.2425,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,88
鲁毖,女,32281545,3.2422,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89
严欣廴,女,32400231,3.1798,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,89
贺月嫩,男,32747166,3.1138,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,88
雷伟薷,男,32720487,3.1006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90
昌琳乩,女,32250705,3.0996,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,88
李峰耐,男,32367174,3.0906,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,88
谢新,男,32382481,3.0878,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,87
赵茵甘,女,32070305,3.0868,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90
周岳佗,女,32011610,3.0465,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,87
陈炳堆,女,32673530,3.0383,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,84
何德蹋,男,32850571,3.0289,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,87
秦供,女,32756567,3.0051,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,86
曹凡咭,男,32755150,3.0029,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,88
朱抡,女,32672536,2.9926,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,74
范搂,男,32615142,2.8992,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,76
韩汉碍,女,32171534,2.872,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,78
沈孤,男,32161435,2.8688,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,72
吴东仟,女,32547274,2.8318,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,74
钱艾,男,32731214,2.7937,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,78
朱炉,男,32614145,2.7482,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,76
赵汉苯,男,32576686,2.7439,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,74
张歌诃,女,32234427,2.7195,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,74
孔岳粟,男,32072187,2.7025,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,78
谢月桥,男,32626138,2.6725,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,74
潘郑,男,32831277,2.6555,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,75
潘亮亘,女,32425311,2.6487,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,74
谢欣内,男,32352738,2.5924,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,76
许臃,男,32711312,2.589,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,75
钱兰椅,女,32208524,2.5785,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,75
贺兰杉,女,32637124,2.5641,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,74
秦桐路,男,32260315,2.522,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,75
马隆罩,男,32328148,2.5057,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,76
韦伟子,女,32808878,2.4974,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,66
苏东攀,男,32846124,2.4884,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,64
许坤阶,女,32537143,2.4882,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,70
苏伟拐,女,32417242,2.4401,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,61
许国菹,女,32754800,2.3993,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,63
姜岳蕞,女,32843061,2.2795,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,70
雷晓峥,男,32738803,2.2616,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,62
钱亮估,女,32203585,2.184,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1,1,0,1,61
罗哉,女,32347303,2.1781,0,1,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,61
孔月倡,男,32146832,2.1643,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,65
吴岳剀,女,32884306,2.1581,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,66
魏士,男,32582673,2.1574,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,63
赵颖郊,男,32122511,2.1481,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,63
冯险,女,32717080,2.1382,1,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,64
李晓淹,男,32420544,2.0467,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,64
沈幻,男,32385567,2.0421,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,59
姜亮巡,男,32450021,1.9893,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,54
岑铭经,男,32346655,1.9802,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,60
鲁国狗,女,32548742,1.8763,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,52
潘月沾,男,32148781,1.8443,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,53
钱奈,男,32647300,1.8223,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,49
